id,display,displayAddition1,displayAddition2,filterDatePoint_mv,filterDateRange_mv,filterDigital,filterLanguage_mv,filterMedium_mv,filterSource,filterType_mv,identifier_id_mv,identifier_type_mv,issn_mv,publicationHistory,publisherOriginalLocation_mv,publisherOriginalText_mv,relation_id_mv,relation_text_mv,relation_type_mv,schemaVersion,source,textualHolding_mv,title,usageRestriction,website_description_mv,website_url_mv
EZB101483,Forme di Vita,"Derive Approdi, 1 (2004) - 6 (2007)",Volltext (Elektronische Zeitschriftenbibliothek),2004-01-01T00:00:00Z␟2007-01-01T00:00:00Z,[2004 TO 2007],True,Italienisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2409353-1,572z,1973-3607,1 (2004) - 6 (2007),Roma,Derive Approdi,,,,0.16.0,AK,1 (2004) - 6 (2007),Forme di Vita,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2409353&bibid=DLA␟https://digital.casalini.it/19733607
EZB101485,"Fuoco, Il","Polistampa, 2007, 15 - 2010, 26",Volltext (Elektronische Zeitschriftenbibliothek),2007-01-01T00:00:00Z␟2010-01-01T00:00:00Z,[2007 TO 2010],True,Italienisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2409361-0,572z,1974-4021,"2007, 15 - 2010, 26",Firenze,Polistampa,,,,0.16.0,AK,"2007, 15 - 2010, 26","Fuoco, Il",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2409361&bibid=DLA␟https://digital.casalini.it/19744021
EZB101486,"Portolano, Il","Polistampa, 2006, 47 - 2010, 61",Volltext (Elektronische Zeitschriftenbibliothek),2006-01-01T00:00:00Z␟2010-01-01T00:00:00Z,[2006 TO 2010],True,Italienisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2409376-2,572z,1974-4137,"2006, 47 - 2010, 61",Firenze,Polistampa,,,,0.16.0,AK,"2006, 47 - 2010, 61","Portolano, Il",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2409376&bibid=DLA␟https://digital.casalini.it/19744137
EZB101489,Letteratura e Letterature,"Fabrizio Serra, 1 (2007) - 4 (2010)",Volltext (Elektronische Zeitschriftenbibliothek),2007-01-01T00:00:00Z␟2010-01-01T00:00:00Z,[2007 TO 2010],True,Italienisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2409392-0,572z,1973-2600,1 (2007) - 4 (2010),Pisa; Roma,Fabrizio Serra,,,,0.16.0,AK,1 (2007) - 4 (2010),Letteratura e Letterature,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2409392&bibid=DLA␟https://digital.casalini.it/19732600
EZB10223,Essays in Criticism,"Oxford University Press (OUP) ; formerly Project MUSE, 1 (1951) - 67 (2017)",Volltext (Elektronische Zeitschriftenbibliothek),1951-01-01T00:00:00Z␟2017-01-01T00:00:00Z,[1951 TO 2017],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2046502-6,572z,1471-6852,1 (1951) - 67 (2017),Oxford,Oxford University Press (OUP) ; formerly Project MUSE,AK01176097,Essays in criticism : a quarterly journal of literary criticism,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1951) - 67 (2017),Essays in Criticism,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2046502&bibid=DLA␟https://academic.oup.com/eic/issue
EZB10247,Scientometrics,"Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers), 1 (1978) - 55 (2002)",Volltext (Elektronische Zeitschriftenbibliothek),1978-01-01T00:00:00Z␟2002-01-01T00:00:00Z,[1978 TO 2002],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2018679-4,572z,1588-2861,1 (1978) - 55 (2002),Dordrecht [u.a.]; Amsterdam [u.a.],Springer Science+Business Media B.V. (formerly Kluwer Academic Publishers),,,,0.16.0,AK,1 (1978) - 55 (2002),Scientometrics,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2018679&bibid=DLA␟https://link.springer.com/journal/11192
EZB103188,Arbitrium : Zeitschrift für Rezensionen zur germanistischen Literaturwissenschaft,"Niemeyer ; de Gruyter, 1 (1983) -",Volltext (Elektronische Zeitschriftenbibliothek),1983-01-01T00:00:00Z,1983,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2415702-8,572z,1865-8849,1 (1983) -,Berlin [u.a.],Niemeyer ; de Gruyter,AK00006042,Arbitrium : Zeitschrift für Rezensionen zur germanistischen Literaturwissenschaft,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1983) -,Arbitrium : Zeitschrift für Rezensionen zur germanistischen Literaturwissenschaft,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2415702&bibid=DLA␟https://www.degruyterbrill.com/journal/key/ARBI/html
EZB103835,"Beiträge zur Geschichte der Deutschen Sprache und Literatur (PBB, Paul-Braunes Beiträge) (1874 -)","Niemeyer ; de Gruyter, 1 (1874) -",Volltext (Elektronische Zeitschriftenbibliothek),1874-01-01T00:00:00Z,1874,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2418115-8,572z,1865-9373,1 (1874) -,Berlin; Tübingen,Niemeyer ; de Gruyter,AK00002911,Beiträge zur Geschichte der deutschen Sprache und Literatur,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1874) -,"Beiträge zur Geschichte der Deutschen Sprache und Literatur (PBB, Paul-Braunes Beiträge) (1874 -)",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2418115&bibid=DLA␟https://www.degruyterbrill.com/journal/key/BGSL/html
EZB104493,"German Quarterly, The (2005 -)","Wiley-Blackwell - SSH ; American Association of Teachers of German, 78 (2005), 1 -",Volltext (Elektronische Zeitschriftenbibliothek),2005-01-01T00:00:00Z,2005,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2066373-0,572z,1756-1183,"78 (2005), 1 -","Oxford [u.a.]; Philadelphia, Pa. [u.a.]",Wiley-Blackwell - SSH ; American Association of Teachers of German,AK00005031,The German quarterly : a journal of the American Association of Teachers of German,Erscheint auch als Druck-Ausgabe,0.16.0,AK,"78 (2005), 1 -","German Quarterly, The (2005 -)",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2066373&bibid=DLA␟https://onlinelibrary.wiley.com/journal/17561183
EZB105306,Howitt's Journal of Literature and Popular Progress,"(via GALE), 1 (1847) - 3 (1848)",Volltext (Elektronische Zeitschriftenbibliothek),1847-01-01T00:00:00Z␟1848-01-01T00:00:00Z,[1847 TO 1848],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2257185-1,572z,,1 (1847) - 3 (1848),London,(via GALE),,,,0.16.0,AK,1 (1847) - 3 (1848),Howitt's Journal of Literature and Popular Progress,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2257185&bibid=DLA␟https://nl.sub.uni-goettingen.de/id/ocm53189649?origin=/collection/nlh-mme
EZB10539,"Cambridge Quarterly, The","Oxford University Press (OUP) ; JSTOR, 1 (1965) - 46 (2017)",Volltext (Elektronische Zeitschriftenbibliothek),1965-01-01T00:00:00Z␟2017-01-01T00:00:00Z,[1965 TO 2017],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2049949-8,572z,1471-6836,1 (1965) - 46 (2017),Oxford,Oxford University Press (OUP) ; JSTOR,,,,0.16.0,AK,1 (1965) - 46 (2017),"Cambridge Quarterly, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2049949&bibid=DLA␟https://academic.oup.com/camqtly/issue
EZB105502,"Laughing Philosopher, The","(via GALE), 1832 - 1832",Volltext (Elektronische Zeitschriftenbibliothek),1832-01-01T00:00:00Z,[1832 TO 1832],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2259863-7,572z,,1832 - 1832,London,(via GALE),,,,0.16.0,AK,1832 - 1832,"Laughing Philosopher, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2259863&bibid=DLA␟https://nl.sub.uni-goettingen.de/id/19010356700700?origin=/collection/nlh-mme
EZB105739,"Moralist, The","(via GALE), 1 (1805) - 1 (1805)",Volltext (Elektronische Zeitschriftenbibliothek),1805-01-01T00:00:00Z,[1805 TO 1805],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2262968-3,572z,,1 (1805) - 1 (1805),London,(via GALE),,,,0.16.0,AK,1 (1805) - 1 (1805),"Moralist, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2262968&bibid=DLA␟https://nl.sub.uni-goettingen.de/id/19010360700300?origin=/collection/nlh-mme
EZB105888,"Annales Politiques, Civiles et Littéraires du Dix-Huitieme Siècle","(via GALE), 1777 - 1791",Volltext (Elektronische Zeitschriftenbibliothek),1777-01-01T00:00:00Z␟1791-01-01T00:00:00Z,[1777 TO 1791],True,Französisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2260171-5,572z,,1777 - 1791,La Haye,(via GALE),,,,0.16.0,AK,1777 - 1791,"Annales Politiques, Civiles et Littéraires du Dix-Huitieme Siècle",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2260171&bibid=DLA␟https://nl.sub.uni-goettingen.de/id/ocm56015584?origin=/collection/nlh-mme
EZB106048,Public Health Ethics,"Oxford University Press ; JSTOR, 1 (2008) - 10 (2017)",Volltext (Elektronische Zeitschriftenbibliothek),2008-01-01T00:00:00Z␟2017-01-01T00:00:00Z,[2008 TO 2017],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2438463-X,572z,1754-9981,1 (2008) - 10 (2017),Oxford,Oxford University Press ; JSTOR,,,,0.16.0,AK,1 (2008) - 10 (2017),Public Health Ethics,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2438463&bibid=DLA␟https://academic.oup.com/phe/issue
EZB106243,Altorientalische Forschungen,"De Gruyter Brill, 3 (1975) -",Volltext (Elektronische Zeitschriftenbibliothek),1975-01-01T00:00:00Z,1975,True,Deutsch␟Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2425759-X,572z,2196-6761,3 (1975) -,Berlin,De Gruyter Brill,,,,0.16.0,AK,3 (1975) -,Altorientalische Forschungen,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2425759&bibid=DLA␟https://www.degruyterbrill.com/journal/key/AOFO/html
EZB106411,"African Book Publishing Record, The","De Gruyter, 1 (1975) -",Volltext (Elektronische Zeitschriftenbibliothek),1975-01-01T00:00:00Z,1975,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2430637-X,572z,1865-8717,1 (1975) -,Berlin,De Gruyter,,,,0.16.0,AK,1 (1975) -,"African Book Publishing Record, The",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2430637&bibid=DLA␟https://www.degruyterbrill.com/journal/key/ABPR/html
EZB106526,Kritikon Litterarum,"De Gruyter, 35 (2008) -",Volltext (Elektronische Zeitschriftenbibliothek),2008-01-01T00:00:00Z,2008,True,Deutsch␟Englisch␟Französisch␟Spanisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2428908-5,572z,1865-7249,35 (2008) -,Berlin,De Gruyter,,,,0.16.0,AK,35 (2008) -,Kritikon Litterarum,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2428908&bibid=DLA␟https://www.degruyterbrill.com/journal/key/KL/html
EZB106530,Microform and Digitization Review,"Saur ; de Gruyter, 1 (1972) - 41 (2012)",Volltext (Elektronische Zeitschriftenbibliothek),1972-01-01T00:00:00Z␟2012-01-01T00:00:00Z,[1972 TO 2012],True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2605470-X,572z,1865-8458,1 (1972) - 41 (2012),"Berlin; New York, NY",Saur ; de Gruyter,,,,0.16.0,AK,1 (1972) - 41 (2012),Microform and Digitization Review,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2605470&bibid=DLA␟https://www.degruyterbrill.com/journal/key/MFIR/html
EZB108026,Orientalistische Literaturzeitung (OLZ),"De Gruyter Brill, 1 (1898) -",Volltext (Elektronische Zeitschriftenbibliothek),1898-01-01T00:00:00Z,1898,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2231070-8,572z,2196-6877,1 (1898) -,Berlin; Leipzig,De Gruyter Brill,,,,0.16.0,AK,1 (1898) -,Orientalistische Literaturzeitung (OLZ),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2231070&bibid=DLA␟https://www.degruyterbrill.com/journal/key/OLZG/html
EZB108869,Philosophia Naturalis (ältere Jahrgänge),"Klostermann, DigiZeitschriften, 1 (1950) - 50 (2013)",Volltext (Elektronische Zeitschriftenbibliothek),1950-01-01T00:00:00Z␟2013-01-01T00:00:00Z,[1950 TO 2013],True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2231076-9,572z,1439-2607,1 (1950) - 50 (2013),"Frankfurt, M.; Meisenheim, Glan","Klostermann, DigiZeitschriften",AK00003716,Philosophia naturalis : Archiv für Naturphilosophie und  die philosophischen Grenzgebiete der exakten Wissenschaften und Wissenschaftsgeschichte,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1950) - 50 (2013),Philosophia Naturalis (ältere Jahrgänge),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2231076&bibid=DLA␟https://resolver.sub.uni-goettingen.de/purl?PPN510319696
EZB109001,"Annales Universitatis Mariae Curie-Sklodowska. Sectio FF, Philologiae = Annales UMCS, Philologiae","Maria Curie-Sklodowska University, Lublin ; CEEOL, 39 (2021) -",Volltext (Elektronische Zeitschriftenbibliothek),2021-01-01T00:00:00Z,2021,True,Polnisch␟Englisch␟Französisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2437054-X,572z,2449-853X,39 (2021) -,Lublin,"Maria Curie-Sklodowska University, Lublin ; CEEOL",,,,0.16.0,AK,39 (2021) -,"Annales Universitatis Mariae Curie-Sklodowska. Sectio FF, Philologiae = Annales UMCS, Philologiae",benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2437054&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB109188,Dil Dergisi = Language Journal,"Ankara Üniversitesi Tömer ; CEEOL, 119 (2003) -",Volltext (Elektronische Zeitschriftenbibliothek),2003-01-01T00:00:00Z,2003,True,Türkisch␟Englisch␟Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2437888-4,572z,2980-0072,119 (2003) -,Ankara,Ankara Üniversitesi Tömer ; CEEOL,,,,0.16.0,AK,119 (2003) -,Dil Dergisi = Language Journal,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2437888&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB109455,Sakarya Üniversitesi Ilahiyat Fakültesi dergisi = Journal of Sakarya University Faculty of Theology,"Sakarya Üniversitesi İlahiyat Fakültesi ; CEEOL, 3 (2001) -",Volltext (Elektronische Zeitschriftenbibliothek),2001-01-01T00:00:00Z,2001,True,Türkisch␟Englisch␟Arabisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2442758-5,572z,1304-6535,3 (2001) -,Sakarya,Sakarya Üniversitesi İlahiyat Fakültesi ; CEEOL,,,,0.16.0,AK,3 (2001) -,Sakarya Üniversitesi Ilahiyat Fakültesi dergisi = Journal of Sakarya University Faculty of Theology,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2442758&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB109465,Studia Universitatis Petru Maior. Philologia,"Universitatea Petru Maior ; CEEOL, 1 (2002) - 25 (2018)",Volltext (Elektronische Zeitschriftenbibliothek),2002-01-01T00:00:00Z␟2018-01-01T00:00:00Z,[2002 TO 2018],True,Rumänisch␟Englisch␟Französisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2443004-3,572z,,1 (2002) - 25 (2018),Târgu Mureş,Universitatea Petru Maior ; CEEOL,,,,0.16.0,AK,1 (2002) - 25 (2018),Studia Universitatis Petru Maior. Philologia,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2443004&bibid=DLA␟https://nl.zugang.nationallizenzen.de/han/3ca6f472-81ae-ddf1-00e9-37a0f7f930d6
EZB109563,Journal of International Political Theory,"Sage Publications, 1 (2005) -",Volltext (Elektronische Zeitschriftenbibliothek),2005-01-01T00:00:00Z,2005,True,Englisch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2455923-4,572z,1755-1722,1 (2005) -,London; Edinburgh,Sage Publications,,,,0.16.0,AK,1 (2005) -,Journal of International Political Theory,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2455923&bibid=DLA␟https://journals.sagepub.com/home/ipt
EZB109579,Editio : Internationales Jahrbuch für Editionswissenschaft,"De Gruyter Brill; Niemeyer, 2 (1988) -",Volltext (Elektronische Zeitschriftenbibliothek),1988-01-01T00:00:00Z,1988,True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2454656-2,572z,1865-9446,2 (1988) -,Berlin; Tübingen,De Gruyter Brill; Niemeyer,AK00009105,Editio : internationales Jahrbuch für Editionswissenschaft,Erscheint auch als Druck-Ausgabe,0.16.0,AK,2 (1988) -,Editio : Internationales Jahrbuch für Editionswissenschaft,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2454656&bibid=DLA␟https://www.degruyterbrill.com/journal/key/EDIT/html
EZB109618,Georg-Büchner-Jahrbuch (Georg Büchner Yearbook),"Niemeyer ; de Gruyter, 1 (1981) - 12 (2012)",Volltext (Elektronische Zeitschriftenbibliothek),1981-01-01T00:00:00Z␟2012-01-01T00:00:00Z,[1981 TO 2012],True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2446612-8,572z,1865-9454,1 (1981) - 12 (2012),Berlin,Niemeyer ; de Gruyter,AK00009070,Georg-Büchner-Jahrbuch,Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (1981) - 12 (2012),Georg-Büchner-Jahrbuch (Georg Büchner Yearbook),benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2446612&bibid=DLA␟https://www.degruyterbrill.com/serial/GBJB-B/html
EZB109619,Hermann-Hesse-Jahrbuch,"Niemeyer ; de Gruyter, 1 (2004) - 4 (2009)",Volltext (Elektronische Zeitschriftenbibliothek),2004-01-01T00:00:00Z␟2009-01-01T00:00:00Z,[2004 TO 2009],True,Deutsch,Zeitschrift,Elektronische Zeitschriftenbibliothek,Gedrucktes,2445641-X,572z,1865-8903,1 (2004) - 4 (2009),Tübingen,Niemeyer ; de Gruyter,AK00237826,Hermann-Hesse-Jahrbuch : [Bibliographie enthalten],Erscheint auch als Druck-Ausgabe,0.16.0,AK,1 (2004) - 4 (2009),Hermann-Hesse-Jahrbuch,benutzbar,Volltext (EZB)␟Volltext (Verlag),http://ezb.uni-regensburg.de/?2445641&bibid=DLA␟https://www.degruyterbrill.com/serial/HHJB-B/html
