id,display,callNumberBibliographic_mv,category,categoryContent_mv,categoryMedia_mv,categoryMedium_mv,categoryPublication_mv,categorySub,categorySubSub,classificationSubjectOther_mv,classification_category_mv,classification_display_mv,classification_id_mv,confidential,contributor_display_mv,contributor_id_mv,corporationAbout_display_mv,corporationAbout_id_mv,corporationByConference_creator_mv,corporationByConference_display_mv,corporationByConference_id_mv,corporationByConference_role_mv,corporationByTerritory_creator_mv,corporationByTerritory_display_mv,corporationByTerritory_id_mv,corporationByTerritory_role_mv,corporationBy_creator_mv,corporationBy_display_mv,corporationBy_id_mv,corporationBy_role_mv,country_mv,creator_display_mv,creator_id_mv,dateCataloged,dateModified,dateOrigin,dateOriginComment_mv,description_text_mv,description_type_mv,digitalObject_accessLevel_mv,digitalObject_display_mv,digitalObject_fileExtension_mv,digitalObject_hyperlink_mv,digitalObject_id_mv,digitalObject_licenseNote_mv,digitalObject_license_mv,digitalObject_thumbnail_mv,displayAddition1,displayAddition2,displayName,edition,editionNormalized,extent,extentFormat,extentIllustrations_mv,extentSupplements,filterAuthorityRelation_mv,filterAuthorityRole_mv,filterAuthority_mv,filterBibliography_mv,filterCollection_mv,filterDatePoint_mv,filterDateRange_mv,filterDigital,filterFormContent_mv,filterLanguageType_mv,filterLanguage_mv,filterLocationType_mv,filterLocation_mv,filterMedium_mv,filterRecent,filterSource,filterSubject_mv,filterType,genreOther_mv,gnd_id_mv,headword_mv,identifier_id_mv,identifier_type_mv,index,inventory,inventoryMissing,isbn_mv,ismn_mv,issn_mv,item_accessionNumber_mv,item_broadcastDate_mv,item_broadcastStation_mv,item_callNumberCollection_mv,item_callNumberItemSuffix_mv,item_callNumberItem_mv,item_callNumberReadingRoom_mv,item_classification_display_mv,item_classification_id_mv,item_collection_display_mv,item_collection_id_mv,item_corporationAt_display_mv,item_corporationAt_id_mv,item_digitalObject_accessLevel_mv,item_digitalObject_display_mv,item_digitalObject_fileExtension_mv,item_digitalObject_hyperlink_mv,item_digitalObject_id_mv,item_digitalObject_licenseNote_mv,item_digitalObject_license_mv,item_digitalObject_thumbnail_mv,item_display_mv,item_enveloped_mv,item_id_mv,item_location_mv,item_noteOther_mv,item_noteProvenance_mv,item_personAt_display_mv,item_personAt_id_mv,item_provenance_mv,item_usageRestrictionNote_mv,item_usageRestriction_mv,item_virtualRecording_mv,journalIssue_display_mv,journalIssue_id_mv,languageOriginal_mv,language_mv,linkCommonsImage_file_mv,linkCommonsImage_rights_mv,linkFilmportal_mv,linkWikidata,linkWikidataWebsite_mv,linkWikipedia,note,noteBibliography_mv,noteContent_mv,noteExplanatory_text_mv,noteExplanatory_type_mv,noteFootnote_text_mv,noteFootnote_type_mv,noteOther_mv,noteRemark_text_mv,noteRemark_type_mv,noteRequirements_mv,parentIssueDate,parentIssueNumber,parentIssuePage,parentIssueVolume,parentIssueYear,parentIssueYearVolume,parentTitleOriginal_mv,parentVolumeNormalized_mv,parentVolumeTotal,parentVolume_mv,parent_displayAddition1_mv,parent_display_mv,parent_id_mv,parent_titleResponsability_mv,parent_type_mv,personAbout_display_mv,personAbout_id_mv,personBy_creator_mv,personBy_display_mv,personBy_id_mv,personBy_role_mv,publicationHistory,publisherOriginalLocation_mv,publisherOriginal_text_mv,publisherOriginal_type_mv,publisher_display_mv,publisher_id_mv,reference_text_mv,reference_type_mv,relation_comment_mv,relation_id_mv,relation_text_mv,relation_type_mv,schemaVersion,scholarlyPublication_date_mv,scholarlyPublication_location_mv,scholarlyPublication_text_mv,scholarlyPublication_type_mv,searchCollectionCreator_display_mv,searchCollectionCreator_id_mv,searchEntityScore,searchEntity_id_mv,searchSuggestPayload,searchSuggestTerm_mv,source,statusCataloging,statusEditing,statusJournalReview,subjectOther_mv,subject_display_mv,subject_id_mv,subject_useTerm_mv,subject_usedFor_mv,subseries,supplements_id_mv,textualHolding_mv,title,titleMain_text,titleOther_language_mv,titleOther_text_mv,titleOther_type_mv,titleResponsability,titleResponsabilityFull,titleShort,titleSuffix,url,usageRestrictionNote,vendor_id_mv,vendor_type_mv,website_description_mv,website_url_mv,workAbout_display_mv,workAbout_id_mv,workAbout_titleOther_text_mv,workCompilation_display_mv,workCompilation_id_mv,work_display_mv,work_id_mv
AK00000042,Manifestation 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK00000001,Bibliotheksdokument 1 - Ausgabebezeichnung Vorlageform : [Veröffentlichungsart 1] / Verantwortlichkeit,Relation,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Manifestation 2,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000042,,,,,,,,,,,,
AK00000051,Zeitschriftenheft 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Zeitschriftenheft 1,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000051,,,,,,,,,,,,
AK00000052,Zeitschriftenheft 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Zeitschriftenheft 2,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK00000052,,,,,,,,,,,,
AK00000053,Zeitschrift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,1.1918/19 : X,Zeitschrift,,,,,,,,,,,,,,,,,,,,,
AK00000061,Facette Form und Inhalt : [Edition Corvey],,Radio/TV-Manuskript,,,,Edition Corvey␟Weblog,Einzelbestandteil / unselbständiges Werk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epik␟Schwank␟Rundfunkmanuskript␟Aufsatz␟Literarisches Weblog,,,,,Beitrag,,Bibliotheksmaterialien,,Gedrucktes,Epik␟Schwank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epik␟Schwank␟Rundfunkmanuskript␟Aufsatz␟Literarisches Weblog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Form und Inhalt,,,,,,,,,,,,,,,,,,,,,
AK00000062,Facette Medium : [Musikalia],,Bibliotheksdokumente,,Tonträger,,Musikalia,"Einzelne Einheit / Stücktitel, Band",säurefreies Papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musikalia,,,,,Noten␟Buch␟Buchumschlag,,Bibliotheksmaterialien,,Gedrucktes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buchumschlag,true,AU00000005,,,,,,,,,,,,,,,,,,,,,,Noten␟Buch␟Buchumschlag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Medium,,,,,,,,,,,,,,,,,,,,,
AK00000063,Facette Personen und Körperschaften,,,,,,,,,,,,,,,,,,,,,,,,,,,Körperschaft 1 (1982–2001),KS00000001,Widmungsempfänger,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001); Körperschaft 1 (1982–2001),,,,,,,Person 1 (1982–2001)␝An␟Körperschaft 1 (1982–2001)␝An␟Person 7␝Unter␟Körperschaft 7␝Unter,Person 1 (1982–2001)␝Widmungsempfänger␟Körperschaft 1 (1982–2001)␝Widmungsempfänger␟Person 7␝Bestandsbildner/Vorbesitzer␟Körperschaft 7␝Bestandsbildner/Vorbesitzer,Person 1 (1982–2001)␟Körperschaft 1 (1982–2001)␟Person 7␟Körperschaft 7,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,Körperschaft 7,KS00000007,,,,,,,,,Facette Personen und Körperschaften,,AU00000011,,,,Person 7,PE00000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001),PE00000001,Widmungsempfänger,,,,,,,,,,,,,0.11.0,,,,,,,,KS00000001␟KS00000007␟PE00000007␟PE00000001,,,AK,,,,,,,,,,,,Facette Personen und Körperschaften,,,,,,,,,,,,,,,,,,,,,
AK00000064,Facette Personen und Körperschaften,,,,,,,,,,,,,,,,,,,,,,,,,,,Körperschaft 1 (1982–2001)␟Körperschaft 2,KS00000001␟KS00000002,Verfasser␟␣,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001); Person 2 (1982–2001); Körperschaft 1 (1982–2001); Körperschaft 2,,,,,,,Person 1 (1982–2001)␝Von␟Person 2 (1982–2001)␝nicht bestimmt␟Körperschaft 1 (1982–2001)␝Von␟Körperschaft 2␝nicht bestimmt,Person 1 (1982–2001)␝Verfasser/Urheber␟Person 2 (1982–2001)␝nicht bestimmt␟Körperschaft 1 (1982–2001)␝Verfasser/Urheber␟Körperschaft 2␝nicht bestimmt,Person 1 (1982–2001)␟Person 2 (1982–2001)␟Körperschaft 1 (1982–2001)␟Körperschaft 2,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001)␟Person 2 (1982–2001),PE00000001␟PE00000002,Verfasser␟␣,,,,,,,,,,,,,0.11.0,,,,,,,,KS00000001␟KS00000002␟PE00000001␟PE00000002,,,AK,,,,,,,,,,,,Facette Personen und Körperschaften,,,,,,,,,,,,,,,,,,,,,
AK00000065,Facette Personen und Körperschaften Systematikketten,,,,,,,,,,Kette Bibliothek␟Kette Bibliothek,Facette Personen und Körperschaften / Systematikketten / Von / Verfasser␟Facette Personen und Körperschaften / Systematikketten / Über,SE00000011␟SE00000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001)␝Von␟Person 2 (1982–2001)␝Von␟Körperschaft 1 (1982–2001)␝Von␟Körperschaft 2␝Von␟Person 3 (1982–2001)␝Über␟Person 4␝Über␟Körperschaft 3␝Über␟Körperschaft 4␝Über,Person 1 (1982–2001)␝Verfasser/Urheber␟Person 2 (1982–2001)␝Verfasser/Urheber␟Körperschaft 1 (1982–2001)␝Verfasser/Urheber␟Körperschaft 2␝Verfasser/Urheber␟Person 3 (1982–2001)␝Behandelte Person/Körperschaft␟Person 4␝Behandelte Person/Körperschaft␟Körperschaft 3␝Behandelte Person/Körperschaft␟Körperschaft 4␝Behandelte Person/Körperschaft,Person 1 (1982–2001)␟Person 2 (1982–2001)␟Körperschaft 1 (1982–2001)␟Körperschaft 2␟Person 3 (1982–2001)␟Person 4␟Körperschaft 3␟Körperschaft 4,,,,,,,,,,,,,Bibliotheksmaterialien,Person 1 (1982–2001)␟Person 2 (1982–2001)␟Person 3 (1982–2001)␟Person 4␟Körperschaft 1␟Körperschaft 2␟Körperschaft 3␟Körperschaft 4,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Personen und Körperschaften Systematikketten,,,,,,,,,,,,,,,,,,,,,
AK00000066,Facette Personen und Körperschaften Provenienzketten über Exemplare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person 1 (1982–2001)␝An␟Person 2 (1982–2001)␝An␟Körperschaft 1 (1982–2001)␝An␟Körperschaft 2␝An␟Person 3 (1982–2001)␝Unter␟Person 4␝Unter␟Körperschaft 3␝Unter␟Körperschaft 4␝Unter␟Person 5␝Unter␟Person 6␝Unter␟Körperschaft 5␝Unter␟Körperschaft 6␝Unter,Person 1 (1982–2001)␝Widmungsempfänger␟Person 2 (1982–2001)␝Widmungsempfänger␟Körperschaft 1 (1982–2001)␝Widmungsempfänger␟Körperschaft 2␝Widmungsempfänger␟Person 3 (1982–2001)␝nicht bestimmt␟Person 4␝nicht bestimmt␟Körperschaft 3␝nicht bestimmt␟Körperschaft 4␝nicht bestimmt␟Person 5␝Bestandsbildner/Vorbesitzer␟Person 6␝Bestandsbildner/Vorbesitzer␟Körperschaft 5␝Bestandsbildner/Vorbesitzer␟Körperschaft 6␝Bestandsbildner/Vorbesitzer,Person 1 (1982–2001)␟Person 2 (1982–2001)␟Körperschaft 1 (1982–2001)␟Körperschaft 2␟Person 3 (1982–2001)␟Person 4␟Körperschaft 3␟Körperschaft 4␟Person 5␟Person 6␟Körperschaft 5␟Körperschaft 6,,,,,,,,,Thesaurus-Begriff 1␝Provenienzort,Thesaurus-Begriff 1,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,Facette Personen und Körperschaften / Provenienzketten / An␟Facette Personen und Körperschaften / Provenienzketten / Unter / nicht bestimmt␝Facette Personen und Körperschaften / Provenienzketten / Unter / Bestandsbildner/Vorbesitzer,SE00000013␟SE00000014␝SE00000015,,,,,,,,,,,,,Facette Personen und Körperschaften / Provenienzketten / An␟Facette Personen und Körperschaften / Provenienzketten / Unter,,AU00000012␟AU00000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Personen und Körperschaften Provenienzketten über Exemplare,,,,,,,,,,,,,,,,,,,,,
AK00000071,Verknüpfte Digitale Objekte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public␟public,Multimedia 10 ohne ext mit thumbnail tif public␟Multimedia 11 ohne ext public,,https://digital.dla-marbach.de/viewer/image/BF00043389/0015/?media_thumbnail=BF00043389_0015.tif&media_access=public␟https://digital.dla-marbach.de/viewer/image/BF00043389/?media_access=public,MM00000010␟MM00000011,Lizenz bzw. Rechteangabe im Freitext␟Lizenz bzw. Rechteangabe im Freitext,,"https://digital.dla-marbach.de/viewer/api/v1/records/BF00043389/files/images/BF00043389_0015.tif/full/!480,480/0/default.jpg␟https://digital.dla-marbach.de/viewer/api/v1/records/BF00043389/files/images/BF00043389_0001.tif/full/!480,480/0/default.jpg",,,,,,,,,,,,,,,,,true,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,public␝public,Multimedia 5 pdf public license CC BY-NC-ND␝Multimedia 15 wacz public,pdf␝wacz,https://digital.dla-marbach.de/files/dbst02/public/2024/20240118/20240118-0001.pdf?media_access=public&media_license=CC-BY-NC-ND␝https://replayweb.page/?source=https://digital.dla-marbach.de/files/sites/public/Feinanteil/Feinanteil_20240715/Feinanteil_20240715.wacz?media_access=public,MM00000005␝MM00000015,,C BY-NC-ND␝␣,,Verknüpfte Digitale Objekte,,AU00000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Verknüpfte Digitale Objekte,,,,,,,,,,,,,,,,,,,,,
AK00000072,Das erste verknüpfte digitale Objekt auf Exemplarebene wird kopiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public,Multimedia 5 pdf public license CC BY-NC-ND,pdf,https://digital.dla-marbach.de/files/dbst02/public/2024/20240118/20240118-0001.pdf?media_access=public&media_license=CC-BY-NC-ND,MM00000005,,C BY-NC-ND,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,public␝public,Multimedia 5 pdf public license CC BY-NC-ND␝Multimedia 15 wacz public,pdf␝wacz,https://digital.dla-marbach.de/files/dbst02/public/2024/20240118/20240118-0001.pdf?media_access=public&media_license=CC-BY-NC-ND␝https://replayweb.page/?source=https://digital.dla-marbach.de/files/sites/public/Feinanteil/Feinanteil_20240715/Feinanteil_20240715.wacz?media_access=public,MM00000005␝MM00000015,,C BY-NC-ND␝␣,,Verknüpfte Digitale Objekte,,AU00000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Das erste verknüpfte digitale Objekt auf Exemplarebene wird kopiert,,,,,,,,,,,,,,,,,,,,,
AK00000081,Facette Zeit: Sendedatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982-05-22T00:00:00Z,1982-05-22,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,1982-05-22,,,,,,,,,,,,,,,,,,,,Facette Zeit: Sendedatum,,AU00000021,,,,,,,,,,,,,,,,,,,,,,1982-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Zeit: Sendedatum,,,,,,,,,,,,,,,,,,,,,
AK00000082,Facette Zeit: Provenienzketten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-01-01T00:00:00Z,1999,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,Facette Zeit: Provenienzketten,SE00000021,,,,,,,,,,,,,Facette Zeit: Provenienzketten,,AU00000022,,,,,,,,,,,,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Zeit: Provenienzketten,,,,,,,,,,,,,,,,,,,,,
AK00000083,Facette Zeit: dateOrigin und parentIssueYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,1981-01-01T00:00:00Z␟1982-01-01T00:00:00Z␟2011-01-01T00:00:00Z,1981␟[1982 TO 2011],,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981␟[1982 TO 2011],,,,,,,,,,,,,1982/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Zeit: dateOrigin und parentIssueYear,,,,,,,,,,,,,,,,,,,,,
AK00000084,Facette Zeit: invalide Datumsangabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-02-29,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900 kein Schaltjahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Zeit: invalide Datumsangabe,,,,,,,,,,,,,,,,,,,,,
AK00000085,Facette Zeit: invalide Zeitspanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-01-01T00:00:00Z␟2011-01-01T00:00:00Z,[2011 TO 2010],,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeitspanne in falscher Reihenfolge,,,,,,,,,,,,,2011/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Zeit: invalide Zeitspanne,,,,,,,,,,,,,,,,,,,,,
AK00000091,Facette Medientyp: Daten,,Bibliotheksdokumente,,,,,,Online-Ressource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online-Ressource,,Bibliotheksmaterialien,,Daten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Medientyp: Daten,,,,,,,,,,,,,,,,,,,,,
AK00000092,Facette Medientyp: Gedrucktes,,Bibliotheksdokumente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmaterialien,,Gedrucktes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Medientyp: Gedrucktes,,,,,,,,,,,,,,,,,,,,,
AK00000093,ohne Titel,,Werktitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werke,,Normdaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,1,AK00000093,AK00000093␝ohne Titel,ohne Titel,AK,,,,,,,,,,,,Facette Medientyp: Normdaten,,,,,,,,,,,,,,,,,,,,,
AK00000094,Facette Medientyp: Audio,,Ton- und Bildträger,,,,,,Audiodatei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audiodatei,,Bibliotheksmaterialien,,Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Medientyp: Audio,,,,,,,,,,,,,,,,,,,,,
AK00000095,Facette Medientyp: Video,,Ton- und Bildträger,,,,,,Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Videokassette,,Bibliotheksmaterialien,,Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Medientyp: Video,,,,,,,,,,,,,,,,,,,,,
AK00000101,Facette Ort: Berlin␝Fundort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin␝Fundort,Berlin,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin [u.a.],Geografikum: Fundort,0.11.0,,,,,,,,,,,AK,,,,,,,,,,,,Facette Ort: Berlin␝Fundort,,,,,,,,,,,,,,,,,,,,,
AK00000111,Teil eines mehrbändigen Werks,,,,,,,,,,,,,,Person 2 (1982–2001)␟PE99999999␟Körperschaft 1 (1982–2001)␟Körperschaft 2␟Konferenz 1␟Konferenz 2␟KS99999999␟Gebietskörperschaft 2␟TH99999999,PE00000002␟PE99999999␟KS00000001␟KS00000002␟KS00000021␟KS00000022␟KS99999999␟TH00000012␟TH99999999,,,contributor␟contributor␟contributor,Konferenz 1␟Konferenz 2␟KS99999999,KS00000021␟KS00000022␟KS99999999,Link Konferenz 1 Typ␟Link Konferenz 2 Typ␟␣,creator␟contributor␟contributor,Gebietskörperschaft 1␟Gebietskörperschaft 2␟TH99999999,TH00000011␟TH00000012␟TH99999999,Link Gebietskörperschaft 1 Typ␟Link Gebietskörperschaft 2 Typ␟␣,contributor␟contributor␟creator,Körperschaft 1 (1982–2001)␟Körperschaft 2␟KS99999999,KS00000001␟KS00000002␟KS99999999,Verfasser/Urheber␟Behandelte Person/Körperschaft␟␣,,Person 1 (1982–2001)␟KS99999999␟Gebietskörperschaft 1,PE00000001␟KS99999999␟TH00000011,,,,,,,,,,,,,,,,,Person 1 (1982–2001); Person 2 (1982–2001); PE99999999; Körperschaft 1 (1982–2001); Körperschaft 2; KS99999999; Person 1 (1982–2001); Person 2 (1982–2001); PE99999999; Körperschaft 1 (1982–2001); Körperschaft 2; KS99999999,,,,,,,Person 1 (1982–2001)␝Von␟Person 2 (1982–2001)␝Von␟PE99999999␝nicht bestimmt␟Körperschaft 1 (1982–2001)␝Von␟Körperschaft 2␝Von␟KS99999999␝nicht bestimmt,Person 1 (1982–2001)␝Verfasser/Urheber␟Person 2 (1982–2001)␝Behandelte Person/Körperschaft␟PE99999999␝nicht bestimmt␟Körperschaft 1 (1982–2001)␝Verfasser/Urheber␟Körperschaft 2␝Behandelte Person/Körperschaft␟KS99999999␝nicht bestimmt,Person 1 (1982–2001)␟Person 2 (1982–2001)␟PE99999999␟Körperschaft 1 (1982–2001)␟Körperschaft 2␟KS99999999,,,,,,,,,,,,,Bibliotheksmaterialien,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Verlagsort 1 : Verlag Vorlageform 1, Jahr/Datum 1 - Umfang",Bibliotheksdokument 1 - Ausgabebezeichnung Vorlageform : [Veröffentlichungsart 1],AK00000001,Verantwortlichkeit,Teil mit abhängigem Titel,,,creator␟contributor␟contributor,Person 1 (1982–2001)␟Person 2 (1982–2001)␟PE99999999,PE00000001␟PE00000002␟PE99999999,Verfasser/Urheber␟Behandelte Person/Körperschaft␟␣,,,,,,,,,,,,,0.11.0,,,,,,,,KS00000001␟KS00000002␟KS99999999␟KS00000021␟KS00000022␟PE00000001␟PE00000002␟PE99999999,,,AK,,,,,,,,,,,,Teil eines mehrbändigen Werks,,,,,,,,,,,,,,,,,,,,,
