source,field,type,description,count,percent,items,unique,most_frequent_value
AK,corporationByConference_creator_mv,strings,,2034,0 %,2093,2,['creator']
AK,corporationByConference_display_mv,texts,aus KS display,2035,0 %,2094,1935,"['Poesiefestival <2010, Berlin>']"
AK,corporationByConference_id_mv,strings,,2035,0 %,2094,1935,['KS00105731']
AK,corporationByConference_role_mv,strings,,2035,0 %,2094,13,['Verfasser/Urheber']
AK,corporationByTerritory_creator_mv,strings,,188,0 %,191,2,['contributor']
AK,corporationByTerritory_display_mv,texts,aus TH display,188,0 %,191,101,['Baden-Württemberg']
AK,corporationByTerritory_id_mv,strings,,188,0 %,191,101,['TH00017657']
AK,corporationByTerritory_role_mv,strings,,169,0 %,172,6,"['Sonstige Person, Familie und Körperschaft']"
AK,country_mv,texts,,566464,31 %,588176,202,['Deutschland']
AK,creator_display_mv,texts,Bündelung aller Urheber für die Anzeige,1299561,72 %,1331389,205125,"['Goethe, Johann Wolfgang von (1749-1832)']"
AK,creator_id_mv,strings,Bündelung aller Urheber für die Anzeige,1299561,72 %,1331389,205782,['PE00000863']
AK,creator_role_mv,strings,Bündelung aller Urheber für die Anzeige,1291147,72 %,1322913,48,['Verfasser/Urheber']
AK,dateCataloged,daterange,,1805324,100 %,1805324,10444,2010-07-04
AK,dateModified,daterange,,1805141,100 %,1805141,8022,2010-07-04
AK,dateOrigin,text,,1700889,94 %,1700889,577,1988
AK,dateOriginComment_mv,texts,,1030843,57 %,1037085,13554,['2002']
AK,description_text_mv,texts,,29720,2 %,31329,429,['farb.']
AK,description_type_mv,strings,,9202,1 %,10804,12,['Kodierungsformat']
AK,digitalObject_accessLevel_mv,strings,aus MM accessLevel,3299,0 %,4123,9,['public']
AK,digitalObject_display_mv,texts,aus MM display,18532,1 %,22877,16336,['Inhaltsverzeichnis Celan-Bibliothek']
AK,digitalObject_fileExtension_mv,strings,aus MM fileExtension,240,0 %,314,35,['pdf']
AK,digitalObject_hyperlink_mv,strings,aus MM hyperlink,3272,0 %,4076,2802,['https://digital.dla-marbach.de/viewer/image/BF00043384/26/?media_access=public&media_thumbnail=BF000433845_0026.tif']
AK,digitalObject_id_mv,strings,,18532,1 %,22877,20524,['MM01497634']
AK,digitalObject_license_mv,strings,aus MM license,83,0 %,89,3,['CC0']
AK,digitalObject_licenseNote_mv,texts,aus MM license,830,0 %,1210,90,['LiN - Rechte uneingeschränkt erteilt']
AK,digitalObject_thumbnail_mv,strings,aus MM thumbnail,1756,0 %,2062,825,"['https://digital.dla-marbach.de/viewer/api/v1/records/BF00043384/files/images/BF000433845_0026.tif/full/!480,480/0/default.jpg']"
AK,display,text_normalized,Hauptbezeichnung,1805393,100 %,1805393,1688049,[4 Gedichte]
AK,displayAddition1,text,Dritte Zeile der Trefferliste,1772693,98 %,1772693,1333894,1999
AK,displayAddition2,text,Vierte Zeile der Trefferliste,62941,3 %,62941,12,Volltext Expressionismus Online (De Gruyter)
AK,displayName,text,Zweite Zeile der Trefferliste gebildet aus Personen und Körperschaften,1493656,83 %,1493656,443688,"Kracauer, Siegfried (1889-1966)"
AK,edition,string,,165329,9 %,165329,31693,1. Aufl.
AK,editionNormalized,string,,171718,10 %,171718,5743,1
AK,exportDC,string,Datensatz im DC-Format,1732587,96 %,1732587,1732587,"<oai_dc:dc xmlns:oai_dc=""http://www.openarchives.org/OAI/2.0/oai_dc/"" xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd"">\n  <dc:title>Deine Hände krallen sich tief</dc:title>\n  <dc:creator>Eroglu, Siir (1961-)</dc:creator>\n  <dc:type>Beitrag</dc:type>\n  <dc:type>Lyrik</dc:type>\n  <dc:type>Aufsatz</dc:type>\n  <dc:type>Band</dc:type>\n (...)"
AK,exportMODS,string,Datensatz im MODS-Format,1732587,96 %,1732587,1732587,"<mods xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://www.loc.gov/mods/v3"" version=""3.8"" xsi:schemaLocation=""http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-8.xsd"">\n  <titleInfo>\n    <title>Kleine Bestandsaufnahme heutiger deutscher Lyrik</title>\n  </titleInfo>\n  <name type=""personal"">\n    <namePart>Herrmann-Neisse, Max (1886-1941)</namePart>\n    <nameIdentifier type=""gnd"">118703870</nameIdentifier>\n     (...)"
AK,exportRIS,string,Datensatz im RIS-Format,1732587,96 %,1732587,1732587,"TY  - GEN\nAV  - nur bibliographischer Nachweis, nicht im Bestand des DLA\nDA  - 2004\nID  - AK00180483\nJF  - Horch und Guck : Zeitschrift der Gedenkstätte Museum in der ""Runden Ecke"" Leipzig\nM2  - Zeitschriftenheft\nPY  - 2004\nTI  - Horch und Guck : Zeitschrift der Gedenkstätte Museum in der ""Runden Ecke"" Leipzig. - 13 (2004), 1 = 45\nUR  - https://www.dla-marbach.de/find/opac/id/AK00180483/\nER  -"
AK,extent,text,,641909,36 %,641909,70429,3 Blatt
AK,extentFormat,text,,15365,1 %,15365,1485,8
AK,extentIllustrations_mv,texts,,183063,10 %,183081,3409,['Ill.']
AK,extentSupplements,text,,13684,1 %,13684,3229,1 Faltblatt
AK,filterAuthority_mv,strings,Facette Personen und Körperschaften,1529867,85 %,2722089,345863,"['Kracauer, Siegfried (1889-1966)']"
AK,filterAuthorityRelation_mv,strings,Facette Personen und Körperschaften mit Relationen,1529867,85 %,2847842,397279,"['Kracauer, Siegfried (1889-1966)␝Von']"
AK,filterAuthorityRole_mv,strings,Facette Personen und Körperschaften mit Funktionsbezeichnungen,1529867,85 %,2884744,529299,"['Kracauer, Siegfried (1889-1966)␝Verfasser/Urheber']"
AK,filterBibliography_mv,strings,Facette Bibliographie,12048,1 %,12068,17,['Döblin-Bibliographie']
AK,filterCollection_mv,strings,Facette Sammlung,128019,7 %,155962,414,['G:Tucholsky-Archiv (Marbacher Forschungsbibliothek)']
AK,filterDatePoint_mv,datepoints,Facette Zeit (Zeitpunkte),1701066,94 %,1827221,19919,['1988-01-01T00:00:00Z']
AK,filterDateRange_mv,dateranges,Facette Zeit (Zeiträume),1701066,94 %,1827414,20803,['1988']
AK,filterDigital,boolean,Filter Digital,55667,3 %,55667,1,True
AK,filterFormContent_mv,strings,Facette Form und Inhalt,1205465,67 %,1694505,391,['Aufsatz']
AK,filterLanguage_mv,strings,Facette Sprache,902637,50 %,962045,172,['Deutsch']
AK,filterLanguageType_mv,strings,Facette Sprache mit Typ,902637,50 %,967965,281,['Deutsch␝Original']
AK,filterLocation_mv,strings,Facette Ort,665916,37 %,838762,19940,['Berlin']
AK,filterLocationType_mv,strings,Facette Ort mit Typ,665916,37 %,842404,21601,['Berlin␝Erscheinungsort']
AK,filterMedium_mv,strings,Facette Sammlung,1678213,93 %,1815179,35,['Beitrag']
AK,filterRecent,daterange,Facette Neu im Katalog,1805324,100 %,1805324,10444,2010-07-04
AK,filterSource,string,Facette Datenbestand,1805393,100 %,1805393,2,Bibliotheksmaterialien
AK,filterSubject_mv,strings,Facette Thema,743477,41 %,1907118,105054,['Kunst / Einzelne Künstler']
AK,filterType_mv,strings,Facette Medientyp,1805393,100 %,1805393,6,Gedrucktes
AK,genreOther_mv,texts,,409320,23 %,437672,383,['Erzählende Prosa']
AK,gnd_id_mv,strings,GND-Nummer für Werktitel extrahiert aus vendor_id_mv / vendor_type_mv,49772,3 %,49774,49756,['4124069-8']
AK,headword_mv,texts,,39169,2 %,44876,27532,['sämtliche']
AK,id,string,,1805393,100 %,1805393,1805393,AK00234524
AK,identifier_id_mv,strings,,1031015,57 %,1742629,1640445,"['00,L01']"
AK,identifier_type_mv,strings,,1027944,57 %,1739532,74,['572y']
AK,index,text,,774,0 %,774,753,Index in: Répertoire international de la presse musicale
AK,inventory,text,,6191,0 %,6191,5522,Bd 1.2. (1987)
AK,isbn_mv,strings,,279062,15 %,352610,292484,"['3-598-50924-3', '3-598-50017-3', '3-598-50050-5', '3-598-50055-6']"
AK,ismn_mv,strings,,209,0 %,221,220,['979-12-2230-881-4']
AK,issn_mv,strings,,7377,0 %,8023,7424,['0931-7961']
AK,item_accessionNumber_mv,strings,aus AU accessionNumber,577049,32 %,647961,573146,['91.4636;0']
AK,item_broadcastDate_mv,strings,aus AU broadcastDate,74674,4 %,74796,19475,['1977']
AK,item_broadcastStation_mv,texts,aus AU broadcastStation,73685,4 %,73798,635,['SWR 2']
AK,item_callNumberCollection_mv,texts,aus AU callNumberCollection_mv getrennt mit ␝ (U+241D),124043,7 %,182904,372,"['G:Wolfskehl, Karl (Virtuelle Bibliothek Kiechlinsbergen 1937)␝G:Wolfskehl, Karl (Virtuelle Rekonstruktion des Buchbesitzes)']"
AK,item_callNumberItem_mv,strings,aus AU callNumberItem,871139,48 %,946561,128921,['Y']
AK,item_callNumberItemSuffix_mv,strings,aus AU callNumberItemSuffix,166373,9 %,191651,52186,['Teils.']
AK,item_callNumberReadingRoom_mv,strings,aus AU callNumberReadingRoom,19882,1 %,24432,2369,['MS:1A/004-006']
AK,item_classification_display_mv,texts,aus AU classification_display_mv getrennt mit ␝ (U+241D),57132,3 %,84968,30065,"['1937 / Kiechlinsbergen / Wolfskehl, Karl␝1937 / 1938 / Berlin / Schocken, Salman␝1938 / Jerusalem / Schockenbibliothek']"
AK,item_classification_id_mv,strings,aus AU classification_id_mv getrennt mit ␝ (U+241D),57132,3 %,84968,30090,['SE00239168␝SE00239169␝SE00241087']
AK,item_collection_display_mv,texts,aus AU collection_display_mv getrennt mit ␝ (U+241D),128019,7 %,187190,433,"['G:Wolfskehl, Karl (Virtuelle Bibliothek Kiechlinsbergen 1937) - [Geschlossener Bestand der Bibliothek, Nachlass]␝G:Wolfskehl, Karl (Virtuelle Rekonstruktion des Buchbesitzes) - [Geschlossener Bestand der Bibliothek, Nachlass]']"
AK,item_collection_id_mv,strings,aus AU collection_id_mv getrennt mit ␝ (U+241D),128019,7 %,187190,433,['BF00042676␝BF00042464']
AK,item_corporationAt_display_mv,texts,aus AU corporationAt_display_mv getrennt mit ␝ (U+241D),25684,1 %,38956,379,['Schockenbibliothek']
AK,item_corporationAt_id_mv,strings,aus AU corporationAt_id_mv getrennt mit ␝ (U+241D),25684,1 %,38956,379,['KS00134857']
AK,item_digitalObject_accessLevel_mv,strings,aus AU digitalObject_accessLevel_mv getrennt mit ␝ (U+241D),80,0 %,150,4,['public']
AK,item_digitalObject_display_mv,texts,aus AU digitalObject_display_mv getrennt mit ␝ (U+241D),80,0 %,150,5,['Digitalisat: Zugang']
AK,item_digitalObject_fileExtension_mv,strings,aus AU digitalObject_fileExtension_mv getrennt mit ␝ (U+241D),3,0 %,13,3,"['pdf', '␣', '␣', '␣', '␣']"
AK,item_digitalObject_hyperlink_mv,strings,aus AU digitalObject_hyperlink_mv getrennt mit ␝ (U+241D),80,0 %,150,80,"['https://digital.dla-marbach.de/viewer/image/AU00380415/?media_access=public&media_license=CC0', '␣']"
AK,item_digitalObject_id_mv,strings,aus AU digitalObject_id_mv getrennt mit ␝ (U+241D),80,0 %,150,80,"['MM01562698', '␣']"
AK,item_digitalObject_license_mv,strings,aus AU digitalObject_license_mv getrennt mit ␝ (U+241D),77,0 %,137,2,['CC0']
AK,item_digitalObject_licenseNote_mv,texts,aus AU digitalObject_licenseNote_mv getrennt mit ␝ (U+241D),???,???,???,???,???
AK,item_digitalObject_thumbnail_mv,strings,aus AU digitalObject_thumbnail_mv getrennt mit ␝ (U+241D),78,0 %,143,78,"['https://digital.dla-marbach.de/viewer/api/v1/records/AU00380415/files/images/AU00380415_0001.tif/full/!480,480/0/default.jpg', '␣']"
AK,item_display_mv,texts,aus AU display,877810,49 %,953465,948411,['I. Gedichte']
AK,item_enveloped_mv,booleans,aus AU enveloped,61636,3 %,70443,2,['true']
AK,item_id_mv,strings,,877810,49 %,953465,953465,['AU00777543']
AK,item_location_mv,texts,aus AU location_mv getrennt mit ␝ (U+241D),873248,48 %,948902,27,['Bibliotheksmagazin']
AK,item_note_mv,texts,aus AU note,102880,6 %,143200,62081,['Kopie']
AK,item_noteOther_mv,texts,aus AU noteOther_mv getrennt mit ␝ (U+241D),6251,0 %,11236,2718,['BKSigel:RL']
AK,item_noteProvenance_mv,texts,aus AU noteProvenance_type_mv und noteProvenance_text_mv,18853,1 %,28216,9070,['Sammlungsbezogener Suchbegriff: Koselleck-Schlagwort-Notiz']
AK,item_personAt_display_mv,texts,aus AU personAt_display_mv getrennt mit ␝ (U+241D),102167,6 %,152467,3615,"['Koselleck, Reinhart (1923-2006)']"
AK,item_personAt_id_mv,strings,aus AU personAt_id_mv getrennt mit ␝ (U+241D),102167,6 %,152467,3616,['PE00000144']
AK,item_provenance_mv,booleans,aus AU provenance,120744,7 %,176986,2,['true']
AK,item_supplements_id_mv,strings,zugeordnete Materialien aus BI und HS über Exemplarsätze getrennt mit ␝ (U+241D),15633,1 %,25774,16362,['HS00864917']
AK,item_usageRestriction_mv,texts,aus AU usageRestriction,877741,49 %,953396,5,['benutzbar']
AK,item_usageRestrictionNote_mv,texts,aus AU usageRestrictionNote,87500,5 %,115914,14,['bedingt benutzbar\nBitte wenden Sie sich an die Auskunft der Bibliothek.\nE-Mail: bibliothek@dla-marbach.de\nTelefon: +49 7144 848 317']
AK,item_virtualRecording_mv,texts,aus AU virtualRecording getrennt mit ␝ (U+241D),1295,0 %,1566,1180,['Auflage der Ausgabe nicht ermittelbar']
AK,journalIssue_display_mv,texts,aus AK display,3235,0 %,3235,684,"Hesperus : encyclopädische Zeitschrift für gebildete Leser. - (1816), H.1-5 = Nr.1-30 [Jg.unvollst.]"
AK,journalIssue_id_mv,strings,,3235,0 %,3235,684,AK00124565
AK,language_mv,texts,,902820,50 %,926227,180,['Deutsch']
AK,languageOriginal_mv,texts,,41410,2 %,42276,167,['Deutsch']
AK,linkCommonsImage_file_mv,strings,aus lobid-gnd depiction und Wikidata P18,1404,0 %,1523,1498,['Plato%20Silanion%20Musei%20Capitolini%20MC1377.jpg']
AK,linkCommonsImage_rights_mv,strings,generiert aus Wikimedia Commons Artist/License,1404,0 %,1523,1001,['Wikimedia Commons | Public domain']
AK,linkFilmportal_mv,strings,aus lobid-gnd sameAs:filmportal und Wikidata P2639,445,0 %,446,446,['5821b22324d046ca959695544f0e3ebb']
AK,linkWikidata,string,aus lobid-gnd,7348,0 %,7348,7341,Q766086
AK,linkWikidataWebsite_mv,strings,aus Wikidata P856,124,0 %,148,147,['https://qualityland.de/']
AK,linkWikipedia,string,aus lobid-gnd sameAs:dewiki,???,???,???,???,???
AK,note,text,,748,0 %,748,599,Gedicht
AK,noteBibliography_mv,texts,,12048,1 %,12068,17,['Döblin-Bibliographie']
AK,noteContent_mv,texts,,43663,2 %,43663,20685,Photo
AK,noteExplanatory_text_mv,texts,,20460,1 %,32905,20749,['Werktitel als Wissensraum']
AK,noteExplanatory_type_mv,strings,,20425,1 %,32870,21,['Geschichte des Werks']
AK,noteFootnote_text_mv,texts,,249291,14 %,341776,182719,['In Fraktur']
AK,noteFootnote_type_mv,strings,,249291,14 %,341776,123,['501']
AK,noteRemark_text_mv,texts,,10287,1 %,22984,11516,['Bibl. Sander']
AK,noteRemark_type_mv,strings,,10265,1 %,22962,11,"['Inhalt', 'Bibliografischer Nachweis']"
AK,noteRequirements_mv,texts,,550,0 %,673,559,['Acrobat-Reader']
AK,parent_display_mv,texts,aus AK display,1334204,74 %,1455688,98139,['[Jugend <München>] Jugend : Münchner illustrierte Wochenschrift für Kunst und Leben']
AK,parent_displayAddition1_mv,texts,aus AK displayAddition1,1333694,74 %,1455176,69985,"['München : Verl. d. Jugend, 1.1896 - 45.1940,13; damit Ersch. eingest..']"
AK,parent_id_mv,strings,,1334204,74 %,1455688,102703,['AK00006781']
AK,parent_titleResponsability_mv,texts,aus AK titleResponsability,808613,45 %,906712,42798,['Hrsg.: Georg Hirth. Red.: Fritz von Ostini']
AK,parent_type_mv,strings,,1095472,61 %,1216877,12,"['Teil einer fortlaufenden Zusammenstellung, Aufsatz (z.B. Zeitschrift)']"
AK,parentIssueDate,daterange,,4584,0 %,4584,3236,1928-08-10
AK,parentIssueNumber,string,,78526,4 %,78526,2822,1
AK,parentIssuePage,string,,160991,9 %,160991,26220,Seite 1
AK,parentIssueVolume,string,,1628,0 %,1628,337,2
AK,parentIssueYear,string,,13391,1 %,13391,1362,2005
AK,parentIssueYearVolume,string,,67369,4 %,67369,526,32
AK,parentTitleOriginal_mv,texts,,178854,10 %,185953,151234,['Neue Bücher']
AK,parentVolume_mv,strings,,267121,15 %,279270,78668,['1']
AK,parentVolumeNormalized_mv,strings,,269100,15 %,281551,63366,['11']
AK,parentVolumeTotal,string,,769480,43 %,769480,582457,(2006)
AK,personAbout_display_mv,texts,aus PE display,487338,27 %,582718,42104,"['Goethe, Johann Wolfgang von (1749-1832)']"
AK,personAbout_id_mv,strings,,487338,27 %,582718,42113,['PE00000863']
AK,personBy_creator_mv,strings,,1475016,82 %,2029291,3,['creator']
AK,personBy_display_mv,texts,aus PE display,1475039,82 %,2029319,300851,"['Kracauer, Siegfried (1889-1966)']"
AK,personBy_id_mv,strings,,1475039,82 %,2029319,302233,['PE00003459']
AK,personBy_role_mv,strings,,1474024,82 %,2028188,58,['Verfasser/Urheber']
AK,publicationHistory,text,,24677,1 %,24677,19038,Band 1-
AK,publisher_display_mv,texts,aus KS display,554339,31 %,568166,36639,['Suhrkamp']
AK,publisher_id_mv,strings,,554339,31 %,568166,39676,['KS00000156']
AK,publisherOriginalLocation_mv,texts,,635158,35 %,657096,23798,['Berlin']
AK,publisherOriginalText_mv,texts,,591369,33 %,611130,89064,['Suhrkamp']
AK,reference_text_mv,texts,,26305,1 %,39579,6981,['DNB']
AK,reference_type_mv,strings,,26284,1 %,39552,9,['positiv']
AK,relation_comment_mv,texts,,214,0 %,824,43,['Enthält']
AK,relation_id_mv,strings,,59466,3 %,88812,53580,['AK00121480']
AK,relation_text_mv,texts,,59760,3 %,89145,54058,"['Kirsch, Sarah (1935-2013). Schwanenliebe (Zusammenstellung : 2001)']"
AK,relation_type_mv,strings,,59789,3 %,89175,194,['Rezension von']
AK,schemaVersion,string,,1805393,100 %,1805393,1,1.0.0
AK,scholarlyPublication_date_mv,texts,,2790,0 %,2827,140,['2015']
AK,scholarlyPublication_location_mv,texts,,21883,1 %,21944,823,['München']
AK,scholarlyPublication_text_mv,texts,,2902,0 %,2941,654,['Univ.']
AK,scholarlyPublication_type_mv,strings,,2918,0 %,2957,43,['Dissertation']
AK,searchBoost,float,Gewichtung Relevanzranking,1805393,100 %,1805393,2,1
AK,searchClassification_id_mv,strings,Suche nach Systematik (Identnummer) in erweiterter Suche,791962,44 %,1243231,231236,"['SE00239168', 'SE00239169', 'SE00241087']"
AK,searchCollectionCreator_display_mv,texts,Personen/Körperschaften mit Relation „Über“ aus verknüpften Bestandsdatensätzen (BF),128019,7 %,187502,369,"['Jünger, Ernst (1895-1998)']"
AK,searchCollectionCreator_id_mv,strings,Personen/Körperschaften mit Relation „Über“ aus verknüpften Bestandsdatensätzen (BF),128019,7 %,187502,369,['PE00001233']
AK,searchDate_mv,strings,Suche nach Datumsangaben in der Form TT.MM.JJJJ,1701066,94 %,1907431,39386,['1988']
AK,searchEntity_id_mv,strings,IDs der Normdaten-Verweise,1568239,87 %,3577714,456260,['PE00003977']
AK,searchEntityScore,int,Anzahl der Verweise auf den Normdatensatz,72806,4 %,72806,251,3
AK,searchName_mv,texts,Personen/Körperschaften für erweiterte Suche,1529867,85 %,2722089,330298,"['Kracauer, Siegfried']"
AK,searchNameAbout_mv,texts,"Personen/Körperschaften mit Relation ""Über"" für erweiterte Suche",464132,26 %,550626,49300,"['Goethe, Johann Wolfgang von']"
AK,searchNameAt_mv,texts,"Personen/Körperschaften mit Relation ""Unter"" für erweiterte Suche",118887,7 %,207802,14191,"['Wolfskehl, Karl', 'Schocken, Salman', 'Schockenbibliothek']"
AK,searchNameBy_mv,texts,"Personen/Körperschaften mit Relation ""Von"" für erweiterte Suche",1491868,83 %,2047696,302775,"['Kracauer, Siegfried']"
AK,searchNameTo_mv,texts,"Personen/Körperschaften mit Relation ""An"" für erweiterte Suche",33226,2 %,39933,14208,"['Jünger, Ernst']"
AK,searchSuggestPayload,string,ID und Anzeigetitel für Suggester (Trennzeichen: ␝),72806,4 %,72806,72806,"AK00240036␝Kaiser, Georg (1878-1945). Die Lederköpfe (Drama : 1928)"
AK,searchSuggestTerm_mv,strings,Suchbegriffe für Suggester,72806,4 %,130845,129469,"['Kracauer, Siegfried (1889-1966). Ginster (1928)']"
AK,searchVariant_mv,texts,"Verweisungsformen verknüpfter Personen, Körperschaften und Werke",1129175,63 %,14564799,321144,"['Goethe, Johann Wolfgang', 'Gete, Iogann W.', 'Goethe, Johann W.', 'Gëte, Iogann V.', 'Goethe, Wolfgang von', 'Goethius, ...', 'Goethe, Volfgango', 'Goethe, Johan Wolphgang', 'Gete, Johan Volfgang', 'Goethe, Johann Wolfgang', 'Göthe, J. W.', 'Goethe, Johann W. von']"
AK,source,string,,1805393,100 %,1805393,1,AK
AK,statusCataloging,string,,848275,47 %,848275,10,"f-fertig, i-fertig"
AK,statusEditing,string,,1628991,90 %,1628991,13,Retrokonversion
AK,statusJournalReview,string,,8189,0 %,8189,12,Zeitschriftenheft ausgewertet
AK,subject_display_mv,texts,aus TH display,141836,8 %,180010,12733,['Berlin']
AK,subject_id_mv,strings,,141836,8 %,180010,12750,['TH00000233']
AK,subject_useTerm_mv,texts,aus TH useTerm_display_mv,18,0 %,18,14,"Merten <Bornheim, Rhein-Sieg-Kreis>"
AK,subject_usedFor_mv,texts,aus TH usedFor_display_mv,117412,7 %,879950,23389,"['Grossberlin', 'Groß-Berlin', 'Haupt- und Residenz-Stadt Berlin', 'Reichshauptstadt Berlin', 'Berlino', 'Berolino', 'Stadtgemeinde Berlin', 'Hauptstadt Berlin', 'Birlin', 'Barlin', 'Berolinon', 'Land Berlin', 'Coloniae Brandenburgicae', 'Berlinum', 'Verolino', 'Berolinum', 'Cölln an der Spree', 'Colonia Brandenburgica', 'Colonia Marchica', 'Cöln an der Spree', 'Berlin <1945-1948>', '""Besonderes Gebiet"" Berlin', 'Groß-Berlin']"
AK,subjectOther_mv,texts,,157857,9 %,233579,161738,['Prosa ; Literatur ; Deutsch']
AK,supplements_id_mv,strings,zugeordnete Materialien aus BI,100,0 %,110,110,['BI00000277']
AK,textualHolding_mv,texts,Bestandsangabe für Zeitschriften,14420,1 %,19877,19375,['Serie; Bestandsnachweis im AK']
AK,title,text,,1805288,100 %,1805288,1637443,Gedichte
AK,titleMain_text,text,,1532849,85 %,1532849,1117687,Gedichte
AK,titleOther_language_mv,texts,,40065,2 %,70424,155,['Deutsch']
AK,titleOther_text_mv,texts,,117579,7 %,173148,150104,['Werke']
AK,titleOther_type_mv,strings,,117401,7 %,172954,32,['370n']
AK,titleResponsability,text,,1364279,76 %,1364279,504617,Alfred Döblin
AK,titleResponsabilityFull,text,,3552,0 %,3552,2956,Oskar Pastior
AK,titleShort,text,,174,0 %,174,170,MARC
AK,titleSuffix,text,,769177,43 %,769177,471612,[Gedicht]
AK,url,string,,1805393,100 %,1805393,1805393,https://www.dla-marbach.de/find/opac/id/AK01039922
AK,usageRestrictionNote,text,Benutzungshinweis,166240,9 %,166240,5,"nicht benutzbar\nnur bibliographischer Nachweis, nicht im Bestand des DLA!"
AK,vendor_id_mv,strings,,1119368,62 %,1198104,707153,['GEMEL. 20090818']
AK,vendor_type_mv,strings,,1119358,62 %,1198094,21,['K10Plus-PPN']
AK,website_description_mv,texts,,129636,7 %,150512,4733,['Inhaltsverzeichnis']
AK,website_url_mv,strings,,136192,8 %,157706,141852,['http://www.munzinger.de/search/go/nr/inhalt.jsp?ausgabe=1890*']
AK,work_display_mv,texts,aus AK display,67139,4 %,67139,27520,"Schiller, Friedrich von (1759-1805). Wilhelm Tell (Drama : 1804)"
AK,work_id_mv,strings,,67139,4 %,67139,27631,AK00000039
AK,workAbout_display_mv,texts,aus AK display,117041,6 %,135481,36693,"['Goethe, Johann Wolfgang von (1749-1832). Faust (Drama)']"
AK,workAbout_id_mv,strings,,117041,6 %,135481,36815,['AK00032651']
AK,workAbout_titleOther_text_mv,texts,aus AK titleOther_text_mv,75533,4 %,89995,9792,['Faust et le second Faust\nFausti']
AK,workCompilation_display_mv,texts,aus AK display,6202,0 %,14077,6596,"['Tucholsky, Kurt (1890-1935). Rheinsberg (Erzählung : 1912)']"
AK,workCompilation_id_mv,strings,,6202,0 %,14077,6603,['AK00035167']
AU,accessionNumber,string,,626404,63 %,626404,573243,91.4636;0
AU,broadcastDate,daterange,,74755,8 %,74755,19474,1977
AU,broadcastStation,text,,73754,7 %,73754,634,SWR 2
AU,callNumberCollection_mv,texts,,145273,15 %,158246,351,['G:Tucholsky-Archiv (Marbacher Forschungsbibliothek)']
AU,callNumberItem,string,,946603,96 %,946603,128923,Y
AU,callNumberItemSuffix,string,,177485,18 %,177485,52190,Teils.
AU,callNumberReadingRoom,string,,20454,2 %,20454,2369,MS:1A/004-006
AU,classification_display_mv,texts,aus SE display,60942,6 %,147039,33742,"['1937 / Kiechlinsbergen / Wolfskehl, Karl', '1937 / 1938 / Berlin / Schocken, Salman', '1938 / Jerusalem / Schockenbibliothek']"
AU,classification_id_mv,strings,,60942,6 %,147039,33875,"['SE00239168', 'SE00239169', 'SE00241087']"
